Restaurant Name,Rating,Cuisine,Location,Reviews
"Andersen, Riley and Levy",2.420320873722466,Mexican,Smithtown,461
Bowen LLC,2.5743063006763545,Chinese,South Lisa,255
"Mccoy, Ramirez and Murray",3.2086227145245565,American,West Kathleen,247
Davidson-Silva,4.279961483761435,Mexican,New Christinaborough,712
Coleman Group,1.960958992383091,American,Port Amy,573
"Garcia, Bennett and Nguyen",3.5639335414027937,Mexican,North Sarahside,492
"Pope, Mccullough and Dougherty",1.844732024683255,American,Myersshire,827
"Thompson, Marshall and Fisher",4.526299539023354,Indian,Maciasview,837
Peters-Koch,1.443934101708932,Indian,West Paulamouth,810
Rojas LLC,1.9186712266489523,Chinese,Lucasland,380
"Lin, Carroll and Horne",1.167611506607602,Italian,North Steven,470
Daniels Inc,4.399877371608196,Mexican,East Nancy,44
"Pena, Jones and Mcintosh",1.7830918769003157,Italian,West Cassandra,489
Wood-Berger,1.3190746898859245,Chinese,West Kimberly,181
Ruiz Inc,2.610584550294881,Indian,Mitchellstad,279
Martin-Bowman,1.977874877358813,Italian,Granttown,825
Nguyen-Beck,3.607621442851763,Chinese,East Travisland,100
"Frazier, Wright and Bender",4.71143147758044,Mexican,Kristaville,893
Brown-White,3.2641205041397123,Mexican,Avilaville,476
Parker Ltd,2.586502112899863,American,New Shawn,104
Kennedy-Parker,2.444916129679933,Mexican,Jessicashire,494
Torres and Sons,2.896130842185188,Italian,East Rickytown,496
Vazquez LLC,4.721537150360768,Chinese,West Brittanyport,379
Smith Inc,4.244558333340762,Italian,East Christianshire,431
"Ball, Johnson and Li",4.6523239746780405,American,West Sarah,650
Long PLC,4.9997649262540556,Indian,South Catherine,720
"Guzman, Day and Bailey",3.202503146450863,Mexican,East Jose,67
Walker LLC,4.80256663637971,Chinese,Mannstad,68
Meyer-Boyer,2.5852152459542843,Mexican,Scottborough,964
Gray and Sons,1.6257111418045822,Mexican,New Amberfort,632
Booth and Sons,3.372989118862491,Mexican,New Staceyborough,628
Wolfe-Mclean,2.689329901425419,Italian,Hudsonfort,816
Hammond-Miller,1.4433250590144753,American,Lake Angela,144
Chambers-Simmons,2.486916598257506,Italian,Anthonyfurt,506
"Harris, Hebert and Tate",4.183610233787302,Chinese,North Andreabury,759
Silva Group,1.4824232599322391,American,Phamchester,253
Lewis Inc,2.4419133311689727,Mexican,Colemouth,821
